name,symbol,price,market_cap,market_cap_rank,total_volume,24h_change,7d_change,30d_change
Gibape,gib,$0.000041,"$34,860",5219.0,$170,-0.23%,-30.85%,96.47%
MOON INU,moon,$0.000000,"$33,566",5233.0,$382,-2.23%,6.04%,37.40%
Pacato,pacato,$0.000000,"$22,195",5353.0,$837,23.02%,N/A,N/A
ROXY FROG,roxy,$0.000002,"$17,989",5406.0,"$1,291",-25.87%,-54.02%,-5.27%
Blue Guy,blue,$0.000013,"$13,071",5475.0,$498,-9.03%,-46.17%,-65.16%
Farcaster Flower,flower,$0.000012,"$12,329",5488.0,$1,0.32%,22.00%,22.41%
Bald Dog,baldo,$0.007119,$0,,$53,-0.55%,2.99%,0.85%
Aped,aped,$0.003509,$0,,$367,2.10%,8.84%,12.71%
/treeplanting,tree,$0.000024,$0,,$3,0.33%,26.73%,31.23%
United Base Postal,ubps,$0.000300,$0,,$61,-3.42%,36.35%,188.99%
Weirdo [OLD],weirdo,$0.013221,$0,,$8,-0.90%,5.66%,17.04%
Baby Brett on Base,bbrett,$0.007601,$0,,"$8,277",-2.12%,47.49%,31.58%
Boe,boe,$0.000094,$0,,"$1,487",-6.23%,-3.56%,30.59%
BOLT on Base,bolt,$0.000617,$0,,"$15,027",0.31%,5.49%,-1.81%
Bird Dog on Base,birddog,$0.000705,$0,,"$5,478",-2.18%,2.44%,67.17%
Brett 2.0,brett2.0,$0.000114,$0,,$698,-2.14%,30.81%,54.56%
Broge,broge,$0.000000,$0,,"$2,476",14.53%,15.30%,160.70%
Buttman,butt,$0.000176,$0,,"$5,540",-1.22%,46.70%,205.43%
LONG,long,$182.650000,$0,,"$139,815",6.06%,8.81%,3.32%
Chuck,chuck,$0.002138,$0,,"$42,398",8.52%,31.61%,16.45%
Coding Dino,dino,$0.000058,$0,,"$592,533",3.29%,14.75%,19.66%
Crypto Journey,daddy,$0.280499,$0,,"$4,357",19.43%,-5.68%,-0.59%
Degen POV,pov,$0.000000,$0,,"$4,642",29.37%,62.02%,211.62%
Basic Dog Meme,dog,$0.000421,$0,,"$3,177",2.27%,10.19%,27.57%
BORED,bored,$0.000942,$0,,"$133,858",1.28%,9.13%,12.39%
ElephantPepe,elepepe,$0.000005,$0,,$6,1.75%,11.31%,15.50%
ElonRWA,elonrwa,$0.000044,$0,,"$2,139",0.28%,0.26%,-1.20%
Floppa Cat,floppa,$0.005554,$0,,"$60,677",3.54%,-9.80%,215.78%
GME (Base),gme,$0.004584,$0,,"$3,816",-0.54%,-17.03%,28.44%
Base Pro Shops,bps,$0.000391,$0,,"$13,597",11.10%,16.13%,423.02%
Keren,keren,$0.000160,$0,,"$1,963",27.60%,0.82%,305.68%
Based USA,usa,$0.002134,$0,,"$83,520",5.16%,41.67%,416.83%
Law of Attraction,loa,$0.008723,$0,,"$7,210",4.15%,-4.68%,-49.27%
Lolcat,cats,$0.000000,$0,,$122,3.80%,7.27%,1.77%
LOUDER,louder,$0.001948,$0,,"$4,849",1.89%,-6.02%,86.86%
lower,lower,$0.000071,$0,,"$9,889",25.78%,78.72%,144.29%
Based Shiba Inu,bshib,$0.000025,$0,,"$3,062",-6.03%,-11.41%,19.57%
Marso.Tech,marso,$0.001053,$0,,"$182,871",-0.08%,-5.27%,N/A
